model_nums	tran_load_time	rnn_load_time	cnn_load_time	dnn_load_time
1k	0.48194456100463867	1.191593885421753	0.19463586807250977	0.10003781318664551
2k	0.2840447425842285	1.5447638034820557	0.7700924873352051	0.22119784355163574
3k	0.34404730796813965	1.1650545597076416	0.6707141399383545	0.14339876174926758
4k	0.33443784713745117	1.8628013134002686	0.3010692596435547	0.08143091201782227
5k	0.34368062019348145	2.1139745712280273	0.7258703708648682	0.1459195613861084
10k	0.4544250965118408	2.0818440914154053	0.3877527713775635	0.11147809028625488
20k	0.36931490898132324	1.6746807098388672	0.3176565170288086	0.09224939346313477
25k	0.313326358795166	1.8727936744689941	0.7043216228485107	0.2024226188659668
30k	0.3624551296234131	1.73573899269104	0.3141512870788574	0.0826876163482666
35k	0.35018205642700195	1.9802277088165283	0.5266354084014893	0.0900719165802002
1k	0.329575777053833	2.010892868041992	0.7721257209777832	0.1141965389251709
2k	0.2546253204345703	1.691326379776001	0.7480370998382568	0.21555399894714355
3k	0.3257589340209961	2.418496608734131	0.696117639541626	0.1171112060546875
4k	0.3517162799835205	1.7428514957427979	0.7353930473327637	0.07418704032897949
5k	0.3353996276855469	1.872035026550293	0.757366418838501	0.10434246063232422
10k	0.428638219833374	2.5852913856506348	0.7548151016235352	0.23228144645690918
20k	0.3407590389251709	3.4939992427825928	0.7223379611968994	0.14361810684204102
25k	0.333446741104126	4.3635852336883545	0.9742815494537354	0.2058877944946289
30k	0.27502965927124023	5.9586896896362305	0.5004541873931885	0.12398099899291992
35k	0.25382399559020996	5.022233724594116	0.14533710479736328	0.09287524223327637
1k	0.2615673542022705	4.799266576766968	0.20307588577270508	0.2182009220123291
2k	0.3898286819458008	5.965547323226929	0.14023041725158691	0.08150625228881836
3k	0.2998926639556885	4.383544683456421	0.20169878005981445	0.2060542106628418
4k	0.2365713119506836	2.9902093410491943	0.6950619220733643	0.20621633529663086
5k	0.613978385925293	2.5519254207611084	0.21398568153381348	0.22185635566711426
10k	0.38791990280151367	2.9211196899414062	0.23930025100708008	0.22368717193603516
20k	0.27361440658569336	2.38179874420166	0.6522550582885742	0.2209172248840332
25k	0.39275693893432617	2.664307117462158	0.14349865913391113	0.09121847152709961
30k	0.26653599739074707	2.8224234580993652	0.7274410724639893	0.2237548828125
35k	0.27001094818115234	2.8258392810821533	0.6962990760803223	0.21644902229309082
1k	0.2872200012207031	2.1543781757354736	0.7293562889099121	0.17920184135437012
2k	0.3582336902618408	2.5245985984802246	0.15677618980407715	0.10525202751159668
3k	0.24975013732910156	1.5543022155761719	0.7150728702545166	0.2049415111541748
4k	0.27782773971557617	1.733855962753296	0.7205483913421631	0.20214486122131348
5k	0.3266780376434326	2.587536096572876	0.766542911529541	0.21140241622924805
10k	0.26265406608581543	2.392375946044922	0.7252724170684814	0.19881653785705566
20k	0.28969240188598633	3.0073626041412354	0.7441351413726807	0.22111916542053223
25k	0.40405845642089844	2.068206310272217	0.22806310653686523	0.09166932106018066
30k	0.29268789291381836	1.572387456893921	0.7455954551696777	0.22773981094360352
35k	0.3140718936920166	1.5351626873016357	0.7231380939483643	0.23339056968688965
1k	0.30452466011047363	1.8568742275238037	0.7222940921783447	0.20493221282958984
2k	0.3700082302093506	3.7537293434143066	0.3120560646057129	0.09390735626220703
3k	0.2760331630706787	2.2626688480377197	0.7034895420074463	0.20505976676940918
4k	0.3071911334991455	1.737924337387085	0.707988977432251	0.20161986351013184
5k	0.2874565124511719	1.5362281799316406	0.7702748775482178	0.2249612808227539
10k	0.2902047634124756	1.8454878330230713	0.7323803901672363	0.20485472679138184
20k	0.2993922233581543	1.8915090560913086	0.7260448932647705	0.2079298496246338
25k	0.3875882625579834	1.6802809238433838	0.1353588104248047	0.09653496742248535
30k	0.2983560562133789	1.7578659057617188	0.7679212093353271	0.2412703037261963
35k	0.29842329025268555	1.5075864791870117	0.7306134700775146	0.22441792488098145
